date,value,val2,val3
2009/6/1,1073.6,1073.6,1073.6
2009/6/2,1106.5,1106.5,1106.5
2009/6/3,1132.2,1132.2,1132.2
2009/6/4,1145.4,1145.4,1145.4
2009/6/5,1145.9,1145.9,1145.9
2009/6/6,1161.8,1161.8,1161.8
2009/6/7,1109.9,1109.9,1109.9
2009/6/8,1070.9,1070.9,1070.9
2009/6/9,1017,1017,1017
2009/6/10,981.4,981.4,981.4
2009/6/11,949.6,949.6,949.6
2009/6/12,947.1,947.1,947.1
2009/6/13,950.1,950.1,950.1
2009/6/14,943.5,943.5,943.5
2009/6/15,939.5,939.5,939.5
2009/6/16,903.4,903.4,903.4
2009/6/17,903.8,903.8,903.8
2009/6/18,902.6,902.6,902.6
2009/6/19,874.6,874.6,874.6
2009/6/20,827.9,827.9,827.9
2009/6/21,804,804,804
2009/6/22,780.1,780.1,780.1
2009/6/23,745.3,745.3,745.3
2009/6/24,745.1,745.1,745.1
2009/6/25,713.6,713.6,713.6
2009/6/26,691.6,691.6,691.6
2009/6/27,667.2,667.2,667.2
2009/6/28,629.8,629.8,629.8
2009/6/29,594.1,594.1,594.1
2009/6/30,533.3,533.3,533.3
2009/7/1,434.2,434.2,434.2
2009/7/2,413.8,413.8,413.8
2009/7/3,371.8,371.8,371.8
2009/7/4,342,342,342
2009/7/5,306.1,306.1,306.1
2009/7/6,290.8,290.8,290.8
2009/7/7,290.8,290.8,290.8
2009/7/8,243.7,243.7,243.7
2009/7/9,207.7,207.7,207.7
2009/7/10,218.4,218.4,218.4
2009/7/11,229.4,229.4,229.4
2009/7/12,191.8,191.8,191.8
2009/7/13,173.4,173.4,173.4
2009/7/14,111.8,111.8,111.8
2009/7/15,12.5,12.5,12.5
2009/7/16,-84.2,-84.2,-84.2
2009/7/17,-141.9,-141.9,-141.9
2009/7/18,-195.2,-195.2,-195.2
2009/7/19,-233.8,-233.8,-233.8
2009/7/20,-358.7,-358.7,-358.7
2009/7/21,-434.4,-434.4,-434.4
2009/7/22,-529,-529,-529
2009/7/23,-569.6,-569.6,-569.6
2009/7/24,-608.8,-608.8,-608.8
2009/7/25,-669.7,-669.7,-669.7
2009/7/26,-686.2,-686.2,-686.2
2009/7/27,-499.7,-499.7,-499.7
2009/7/28,-430.4,-430.4,-430.4
2009/7/29,-416.4,-416.4,-416.4
2009/7/30,-412.6,-412.6,-412.6
2009/7/31,-361.7,-361.7,-361.7
2009/8/1,-275,-275,-275
2009/8/2,-158.3,-158.3,-158.3
2009/8/3,-67.8,-67.8,-67.8
2009/8/4,-50.5,-50.5,-50.5
2009/8/5,-14.6,-14.6,-14.6
2009/8/6,93.2,93.2,93.2
2009/8/7,161.3,161.3,161.3
2009/8/8,200.6,200.6,200.6
2009/8/9,190.7,190.7,190.7
2009/8/10,235.7,235.7,235.7
2009/8/11,304.5,304.5,304.5
2009/8/12,352,352,352
2009/8/13,410.4,410.4,410.4
2009/8/14,476.5,476.5,476.5
2009/8/15,551.8,551.8,551.8
2009/8/16,621.1,621.1,621.1
2009/8/17,673.8,673.8,673.8
2009/8/18,727.6,727.6,727.6
2009/8/19,761.3,761.3,761.3
2009/8/20,849.3,849.3,849.3
2009/8/21,910,910,910
2009/8/22,935.1,935.1,935.1
2009/8/23,1011.3,1011.3,1011.3
2009/8/24,1077.5,1077.5,1077.5
2009/8/25,1180.1,1180.1,1180.1
2009/8/26,1273.7,1273.7,1273.7
2009/8/27,1362.2,1362.2,1362.2
2009/8/28,1389.7,1389.7,1389.7
2009/8/29,1322.1,1322.1,1322.1
2009/8/30,769.1,769.1,769.1
2009/8/31,875.3,875.3,875.3
2009/9/1,854.1,854.1,854.1
2009/9/2,874.5,874.5,874.5
2009/9/3,937.7,937.7,937.7
2009/9/4,1055.9,1055.9,1055.9
2009/9/5,1192.3,1192.3,1192.3
