time;origin_data;departure;residual
2009-06-12;9615.399999999998;25277.88788073039;-15662.487880730394
2009-06-13;9618.399999999998;25277.88788073039;-15659.487880730394
2009-06-14;9611.799999999996;25277.88788073039;-15666.087880730396
2009-06-15;9607.799999999996;25277.88788073039;-15670.087880730396
2009-06-16;9571.699999999997;25277.88788073039;-15706.187880730395
2009-06-17;9572.099999999997;25277.88788073039;-15705.787880730395
2009-06-18;9570.899999999996;25277.88788073039;-15706.987880730396
2009-06-19;9542.899999999996;25277.88788073039;-15734.987880730396
2009-06-20;9496.199999999997;25277.88788073039;-15781.687880730395
2009-06-21;9472.299999999996;25277.88788073039;-15805.587880730396
2009-06-22;9448.399999999996;25277.88788073039;-15829.487880730396
2009-06-23;9413.599999999997;25277.88788073039;-15864.287880730395
2009-06-24;9413.399999999996;25277.88788073039;-15864.487880730396
2009-06-25;9381.899999999996;25277.88788073039;-15895.987880730396
2009-06-26;9359.899999999996;25277.88788073039;-15917.987880730396
2009-06-27;9335.499999999996;25277.88788073039;-15942.387880730395
2009-06-28;9298.099999999997;25277.88788073039;-15979.787880730395
2009-06-29;9262.399999999996;25277.88788073039;-16015.487880730396
2009-06-30;9201.599999999997;25277.88788073039;-16076.287880730395
2009-07-01;9141.849999999997;25401.553260583525;-16259.703260583528
2009-07-02;9082.099999999997;25401.553260583525;-16319.453260583528
2009-07-03;9040.099999999997;25401.553260583525;-16361.453260583528
2009-07-04;9010.299999999996;25401.553260583525;-16391.25326058353
2009-07-05;8974.399999999998;25401.553260583525;-16427.153260583527
2009-07-06;8959.099999999999;25401.553260583525;-16442.453260583527
2009-07-07;8959.099999999999;25401.553260583525;-16442.453260583527
2009-07-08;8911.999999999998;25401.553260583525;-16489.553260583525
2009-07-09;8875.999999999998;25401.553260583525;-16525.553260583525
2009-07-10;8886.699999999999;25401.553260583525;-16514.853260583528
2009-07-11;8897.699999999999;25401.553260583525;-16503.853260583528
2009-07-12;8860.099999999999;25401.553260583525;-16541.453260583527
2009-07-13;8841.699999999999;25401.553260583525;-16559.853260583528
2009-07-14;8780.099999999999;25401.553260583525;-16621.453260583527
2009-07-15;8695.533333333331;25401.553260583525;-16706.019927250192
2009-07-16;8610.966666666664;25401.553260583525;-16790.58659391686
2009-07-17;8526.399999999996;25401.553260583525;-16875.15326058353
