time;origin_data;trans_data;residual
2017-10-15;11538.9;8206.042641403554;3332.857358596446
2017-10-16;11606.2;8208.772022820564;3397.427977179437
2017-10-17;11698.6;8211.501404237575;3487.0985957624252
2017-10-18;11785.3;8214.230785654585;3571.0692143454144
2017-10-19;11879.6;8216.960167071597;3662.639832928404
2017-10-20;11982.1;8219.689548488606;3762.410451511394
2017-10-21;12114.2;8222.418929905618;3891.781070094383
2017-10-22;12267.4;8225.148311322628;4042.251688677372
2017-10-23;12368.9;8227.87769273964;4141.02230726036
2017-10-24;12438.6;8230.60707415665;4207.992925843351
2017-10-25;12504.4;8233.33645557366;4271.063544426339
2017-10-26;12558.1;8236.06583699067;4322.03416300933
2017-10-27;12621.8;8238.795218407682;4383.004781592317
2017-10-28;12663.0;8241.524599824692;4421.475400175308
2017-10-29;12707.6;8244.253981241704;4463.346018758297
2017-10-30;12758.7;8246.983362658713;4511.716637341287
2017-10-31;12817.7;8249.712744075725;4567.987255924276
2017-11-01;12890.5;8252.442125492735;4638.057874507265
2017-11-02;12962.6;8255.171506909746;4707.428493090254
2017-11-03;12997.8;8257.900888326756;4739.899111673243
2017-11-04;13040.7;8260.630269743768;4780.069730256233
2017-11-05;13114.8;8263.35965116078;4851.44034883922
2017-11-06;13165.0;8266.08903257779;4898.910967422211
2017-11-07;13209.9;8268.8184139948;4941.081586005199
2017-11-08;13256.9;8271.54779541181;4985.352204588189
2017-11-09;13309.4;8274.277176828822;5035.1228231711775
2017-11-10;13342.1;8277.006558245834;5065.093441754167
2017-11-11;13376.6;8279.735939662844;5096.864060337157
2017-11-12;13425.7;8282.465321079855;5143.234678920146
2017-11-13;13475.0;8285.194702496865;5189.805297503135
2017-11-14;13500.9;8287.924083913877;5212.975916086123
2017-11-15;13540.5;8290.653465330888;5249.846534669112
2017-11-16;13598.3;8293.382846747898;5304.917153252101
2017-11-17;13635.0;8296.11222816491;5338.8877718350905
2017-11-18;13635.0;8298.84160958192;5336.158390418081
2017-11-19;13678.9;8301.570990998931;5377.329009001069
2017-11-20;13722.9;8304.30037241594;5418.599627584059
2017-11-21;13804.5;8307.029753832952;5497.470246167048
2017-11-22;13848.5;8309.759135249962;5538.740864750038
2017-11-23;13915.9;8312.488516666974;5603.411483333026
2017-11-24;14025.6;8315.217898083984;5710.382101916017
2017-11-25;14132.6;8317.947279500995;5814.652720499005
2017-11-26;14244.9;8320.676660918005;5924.223339081995
2017-11-27;14382.3;8323.406042335017;6058.893957664983
2017-11-28;14473.0;8326.135423752026;6146.864576247974
2017-11-29;14576.8;8328.864805169038;6247.935194830961
2017-11-30;14699.3;8331.594186586048;6367.705813413952
2017-12-01;14844.8;8334.32356800306;6510.47643199694
2017-12-02;14973.7;8337.05294942007;6636.647050579932
2017-12-03;15077.6;8339.78233083708;6737.81766916292
2017-12-04;15170.3;8342.51171225409;6827.788287745909
2017-12-05;15285.5;8345.241093671102;6940.258906328898
2017-12-06;15409.7;8347.970475088112;7061.729524911889
2017-12-07;15481.1;8350.699856505124;7130.400143494877
