time;origin_data;despiked;flag
2009-10-17;4302.7;12906.199999999993;0
2009-10-18;4329.4;12932.899999999994;0
2009-10-19;4278.6;12882.099999999995;0
2009-10-20;4258.8;12862.299999999996;0
2009-10-21;4282.2;12885.699999999995;0
2009-10-22;4323.5;12926.999999999996;0
2009-10-23;4363.8;12967.299999999996;0
2009-10-24;4408.8;13012.299999999996;0
2009-10-25;4436.9;13040.399999999994;0
2009-10-26;4453.4;13056.899999999994;0
2009-10-27;4502.9;13106.399999999994;0
2009-10-28;4562.8;13166.299999999996;0
2009-10-29;4641.1;13244.599999999995;0
2009-10-30;4477.7;13154.599999999995;1
2009-10-31;4461.1;13064.599999999995;0
2009-11-01;4448.0;13051.499999999995;0
2009-11-02;4324.6;12988.599999999995;1
2009-11-03;4322.2;12925.699999999993;0
2009-11-04;4314.9;12918.399999999994;0
2009-11-05;4327.7;12931.199999999993;0
2009-11-06;4391.1;12994.599999999995;0
2009-11-07;4434.1;13037.599999999995;0
2009-11-08;4459.4;13062.899999999994;0
2009-11-09;4526.7;13130.199999999993;0
2009-11-10;4545.5;13148.999999999993;0
2009-11-11;4521.2;13124.699999999993;0
2009-11-12;4491.0;13094.499999999993;0
2009-11-13;4535.0;13138.499999999993;0
2009-11-14;4588.3;13191.799999999992;0
