Line,Point,latitude,longitude,elevation,gravity_val
12,12018,24.35692,102.55251,1637.225,978498.818
12,12019,24.35553,102.5507,1637.96,978498.379
12,12020,24.35392,102.54865,1638.549,978497.991
12,12022,24.35078,102.54589,1637.941,978498.945
12,12023,24.34905,102.544,1637.977,978499.423
12,12024,24.34749,102.54282,1639.56,978499.175
12,12025,24.34568,102.54081,1639.126,978498.832
12,12026,24.34415,102.53921,1637.648,978499.206
12,12027,24.34257,102.53791,1637.062,978500.159
12,12028,24.34078,102.53608,1635.539,978502.215
12,12029,24.3391,102.53455,1633.749,978501.601
12,12030,24.33738,102.53286,1631.409,978500.645
12,12031,24.33594,102.53144,1630.012,978500.059
12,12032,24.33418,102.52979,1627.445,978499.964
12,12033,24.3328,102.52817,1627.901,978499.253
12,12034,24.33116,102.52695,1628.324,978499.041
12,12035,24.32893,102.5259,1628.769,978499.812
12,12036,24.32686,102.52503,1629.763,978500.973
12,12037,24.32581,102.52393,1631.48,978500.687
12,12038,24.32301,102.52277,1633.183,978499.812
12,12039,24.32092,102.52135,1634.697,978500.027
91,9101,24.37502,102.52475,1624.226,978492.299
91,9102,24.37484,102.5233,1623.81,978492.245
91,9103,24.37594,102.52163,1623.75,978491.81
91,9104,24.37653,102.52079,1623.995,978491.566
91,9105,24.37752,102.51976,1623.869,978491.319
91,9106,24.37807,102.51713,1623.772,978490.899
91,9107,24.37863,102.51606,1623.908,978490.613
91,9108,24.37914,102.51482,1623.291,978490.477
91,9109,24.37967,102.51354,1623.65,978490.192
91,9110,24.38039,102.51178,1624.494,978489.887
91,9111,24.38075,102.51078,1627.096,978489.375
91,9112,24.37975,102.50911,1649.075,978484.917
91,9113,24.38015,102.50751,1653.86,978484.204
91,9114,24.3804,102.50492,1641.168,978487.604
91,9115,24.38068,102.50376,1642.732,978487.989
91,9116,24.381,102.50242,1648.647,978487.807
91,9117,24.38191,102.50112,1660.414,978487.279
91,9118,24.38344,102.49899,1665.915,978490.154
91,9119,24.38391,102.49742,1666.67,978492.304
91,9120,24.38505,102.496,1680.088,978490.994
91,9121,24.38561,102.49444,1690.1,978489.847
91,9122,24.38538,102.49211,1699.639,978488.352
91,9123,24.38541,102.49049,1711.211,978485.912
91,9124,24.38452,102.48907,1720.276,978484.05
91,9125,24.38452,102.48706,1736.341,978481.327
91,9126,24.38515,102.48549,1749.437,978478.958
91,9127,24.38635,102.48442,1753.726,978478.47
91,9128,24.38779,102.48322,1765.789,978476.574
91,9129,24.38881,102.48254,1776.632,978474.308
91,9130,24.37408,102.50888,1628.967,978489.685
91,9131,24.37324,102.51019,1626.077,978490.398
91,9132,24.37227,102.51174,1624.401,978490.955
91,9133,24.37158,102.51297,1623.718,978491.318
91,9134,24.37092,102.5143,1623.227,978491.643
91,9135,24.37003,102.51564,1622.935,978492.083
91,9136,24.36913,102.51699,1622.642,978492.544
91,9137,24.36883,102.51853,1622.381,978492.93
91,9138,24.36788,102.51995,1622.366,978493.382
3,3056,24.3719,102.52878,1625.269,978493.778
3,3057,24.37063,102.52976,1625.298,978494.413
3,3058,24.36907,102.53043,1625.773,978495.002
3,3059,24.36721,102.53123,1625.545,978495.794
3,3060,24.36577,102.53267,1623.642,978496.965
3,3061,24.3648,102.53423,1623.409,978497.561
3,3062,24.36288,102.53619,1623.724,978498.227
3,3063,24.36178,102.53774,1624.191,978498.581
3,3064,24.3597,102.5401,1627.01,978499.251
3,3065,24.35769,102.54258,1631.559,978498.091
3,3066,24.35698,102.54362,1632.409,978498.16
3,3067,24.35515,102.54535,1634.358,978498.758
3,3068,24.3539,102.54707,1637.274,978498.3
3,3069,24.35235,102.54904,1639.999,978497.872
3,3070,24.35108,102.55044,1644.008,978497.532
3,3071,24.34943,102.55274,1649.909,978498.133
3,3072,24.34861,102.55513,1659.459,978497.879
9,9018,24.3371,102.52501,1625.152,978499.862
9,9019,24.33769,102.52364,1622.954,978499.813
9,9020,24.33857,102.52256,1622.044,978499.803
9,9021,24.33957,102.52139,1621.095,978499.885
9,9022,24.34068,102.52008,1619.957,978500.183
