eventID,Agency,year,month,day,hour,minute,second,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,moment,scaling,source,mpp,mpr,mrr,mrt,mtp,mtt
912784,ISC-GEM,1919,5,7,5,13,54.65,153.5940,-5.6690,27.10,15.60,94.60,35.00,13.70,6.38,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
912797,ISC-GEM,1919,5,23,6,10,48.06,71.3630,29.8840,52.10,9.40,8.20,35.00,25.00,6.52,0.26,       ,    ,          ,       ,       ,       ,       ,       ,       
912823,ISC-GEM,1919,6,29,23,14,13.44,-88.2910,12.3300,15.30,12.00,71.70,20.00,20.50,6.61,0.24,       ,    ,          ,       ,       ,       ,       ,       ,       
912837,ISC-GEM,1919,7,8,21,6,14.75,31.5660,-8.1740,20.90,12.80,58.40,15.00,25.00,7.22,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
912862,ISC-GEM,1919,7,24,2,3,33.53,75.4410,39.0710,15.50,7.40,34.10,20.00,21.80,6.50,0.22,       ,    ,          ,       ,       ,       ,       ,       ,       
912906,ISC-GEM,1919,8,29,5,44,3.04,127.3830,-3.0190,14.70,8.80,64.10,15.00,11.00,6.91,0.49,       ,    ,          ,       ,       ,       ,       ,       ,       
912912,ISC-GEM,1919,8,31,17,20,35.92,167.1940,-15.3680,13.80,10.60,120.80,35.00,7.50,6.76,0.24,       ,    ,          ,       ,       ,       ,       ,       ,       
912961,ISC-GEM,1919,9,26,19,39,43.48,124.0980,6.8500,11.40,7.70,95.00,35.00,25.00,6.56,0.41,       ,    ,          ,       ,       ,       ,       ,       ,       
912979,ISC-GEM,1919,10,12,21,48,31.74,101.7520,-4.1790,19.10,11.00,49.60,25.00,15.60,6.47,0.62,       ,    ,          ,       ,       ,       ,       ,       ,       
913005,ISC-GEM,1919,11,18,21,54,54.05,26.5300,39.4980,11.20,9.90,72.30,10.00,5.00,6.51,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913021,ISC-GEM,1919,12,20,20,37,34.36,121.7870,22.5140,13.00,7.20,108.00,20.00,11.20,6.90,0.24,       ,    ,          ,       ,       ,       ,       ,       ,       
912419,ISC-GEM,1920,2,2,11,22,24.36,152.0170,-4.9670,13.90,10.50,71.80,35.00,31.00,7.81,0.65,       ,    ,          ,       ,       ,       ,       ,       ,       
912429,ISC-GEM,1920,2,10,22,7,18.41,-67.3390,18.6190,10.70,8.50,142.30,15.00,7.40,6.40,0.30,5.70,18, bibliog  ,       ,       ,       ,       ,       ,       
912458,ISC-GEM,1920,3,17,18,37,4.97,95.5550,1.5750,21.10,13.60,14.30,15.00,25.00,6.32,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
912460,ISC-GEM,1920,3,20,18,31,25.65,-110.7260,-35.8480,21.30,14.80,159.00,10.00,25.00,6.96,0.38,       ,    ,          ,       ,       ,       ,       ,       ,       
912464,ISC-GEM,1920,3,29,5,8,0.16,-127.2330,50.9570,18.20,8.40,61.40,15.00,25.00,6.40,0.51,       ,    ,          ,       ,       ,       ,       ,       ,       
912474,ISC-GEM,1920,4,11,23,3,45.39,151.1240,48.8810,21.30,8.40,127.00,15.00,25.00,6.34,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
